,tickets_id,drawing_id,line_id,bet_type,numbers
4150,5ef7a7a7b0deeb00273536bc,polishMiniLotto_3892,5.0,NORMAL,"11,19,21,25,33"
4864,5ef7a7afc5d9eb002705b180,polishMiniLotto_3892,3.0,NORMAL,"5,11,19,21,22"
5393,5ef7a7b4c5d9eb002705b259,polishMiniLotto_3892,1.0,NORMAL,"7,11,19,21,36"
6054,5ef7a7be163c15002736d1bf,polishMiniLotto_3892,1.0,NORMAL,"1,11,19,21,22"
6447,5ef7a7c4bc5fd30028bfb1bf,polishMiniLotto_3892,4.0,NORMAL,"11,19,21,34,37"
6695,5ef7ac173ea002002cd207a6,polishMiniLotto_3892,1.0,NORMAL,"1,11,19,21,22"
6768,5ef7ade27c61e1002c1dd7be,polishMiniLotto_3892,12.0,NORMAL,"5,11,19,21,22"
8982,5ef81fb9b0deeb0027354468,polishMiniLotto_3892,1.0,NORMAL,"9,11,19,21,35"
9829,5ef8412bbc5fd30028bfbf93,polishMiniLotto_3892,1.0,NORMAL,"6,11,19,21,22"
9833,5ef8412bbc5fd30028bfbf93,polishMiniLotto_3892,5.0,NORMAL,"6,11,19,21,29"
9834,5ef8412bbc5fd30028bfbf93,polishMiniLotto_3892,6.0,NORMAL,"11,19,21,22,29"
9835,5ef8412bbc5fd30028bfbf93,polishMiniLotto_3892,7.0,NORMAL,"11,19,21,22,29"
9836,5ef8412bbc5fd30028bfbf93,polishMiniLotto_3892,8.0,NORMAL,"11,19,21,22,35"
9840,5ef8412bbc5fd30028bfbf93,polishMiniLotto_3892,12.0,NORMAL,"11,19,21,29,35"
10947,5ef85a96b0deeb0027355a56,polishMiniLotto_3892,1.0,NORMAL,"11,19,21,38,41"
11028,5ef85c6b223ea4002c60a0a3,polishMiniLotto_3892,1.0,NORMAL,"11,19,21,38,41"
11053,5ef85cf5eaf7fe002c77eca9,polishMiniLotto_3892,1.0,NORMAL,"11,19,21,29,35"
11064,5ef85d5deaf7fe002c77ece4,polishMiniLotto_3892,1.0,NORMAL,"11,19,21,35,39"
11065,5ef85d5deaf7fe002c77ece4,polishMiniLotto_3892,2.0,NORMAL,"11,19,21,29,35"
11067,5ef85d5deaf7fe002c77ece4,polishMiniLotto_3892,4.0,NORMAL,"11,19,21,22,39"
11070,5ef85d5deaf7fe002c77ece4,polishMiniLotto_3892,7.0,NORMAL,"11,19,21,22,35"
11072,5ef85d5deaf7fe002c77ece4,polishMiniLotto_3892,9.0,NORMAL,"11,19,21,29,39"
11128,5ef85e80eaf7fe002c77edff,polishMiniLotto_3892,2.0,NORMAL,"11,19,21,33,39"
11138,5ef85e80eaf7fe002c77edff,polishMiniLotto_3892,12.0,NORMAL,"11,19,21,35,40"
11201,5ef860151a6404002dfa1b8d,polishMiniLotto_3892,8.0,NORMAL,"11,19,21,22,39"
11948,5ef86d72c5d9eb002705d746,polishMiniLotto_3892,4.0,NORMAL,"9,11,19,21,23"
12185,5ef86f5f311e0b002cfc531d,polishMiniLotto_3892,10.0,NORMAL,"11,19,21,27,29"
12439,5ef8721cf5328c002de993a6,polishMiniLotto_3892,2.0,NORMAL,"8,11,19,21,25"
14340,5ef89157163c15002736fc5a,polishMiniLotto_3892,8.0,NORMAL,"11,19,21,29,42"
14418,5ef8925bb9cdfe002c47e3d8,polishMiniLotto_3892,7.0,NORMAL,"11,19,21,29,42"
17766,5ef8c27ebc5fd30028bfe78f,polishMiniLotto_3892,2.0,NORMAL,"11,19,21,29,35"
18507,5ef8cac598953a002c5df436,polishMiniLotto_3892,2.0,NORMAL,"1,3,11,19,21"
18635,5ef8cbbdbaa67b002cb0a503,polishMiniLotto_3892,2.0,NORMAL,"1,3,11,19,21"
19876,5ef8d7b9c5d9eb002705ee5f,polishMiniLotto_3892,1.0,NORMAL,"11,19,21,25,33"
20697,5ef8dd4b98953a002c5e0645,polishMiniLotto_3892,5.0,NORMAL,"11,19,21,29,35"
21005,5ef8dfc728be7f002ce1ef8e,polishMiniLotto_3892,1.0,NORMAL,"11,19,21,29,35"
21008,5ef8dfc728be7f002ce1ef8e,polishMiniLotto_3892,4.0,NORMAL,"11,19,21,28,29"
21011,5ef8dfc728be7f002ce1ef8e,polishMiniLotto_3892,7.0,NORMAL,"5,11,19,21,35"
21012,5ef8dfc728be7f002ce1ef8e,polishMiniLotto_3892,8.0,NORMAL,"4,11,19,21,35"
21222,5ef8e0fb7c61e1002c1ee7fd,polishMiniLotto_3892,8.0,NORMAL,"11,19,21,28,29"
575,5e0cede1578aee002cbf4d9a,polishMiniLotto_3892,1.0,NORMAL,"2,11,19,33,39"
1547,5ee855b9353c30002c7f4b65,polishMiniLotto_3892,1.0,NORMAL,"9,11,19,33,42"
2576,5ef3cad671d996002d65dd32,polishMiniLotto_3892,5.0,NORMAL,"5,11,19,33,36"
5721,5ef7a7b9b0deeb0027353902,polishMiniLotto_3892,3.0,NORMAL,"5,11,19,33,36"
7553,5ef7bfcffd324f002ca878b1,polishMiniLotto_3892,10.0,NORMAL,"9,11,19,33,42"
15806,5ef8a75e1aa8bb002cc19414,polishMiniLotto_3892,6.0,NORMAL,"3,11,19,33,34"
15832,5ef8a7f9d3cf7b002c8cfdb5,polishMiniLotto_3892,3.0,NORMAL,"3,8,11,19,33"
19156,5ef8d159fd324f002ca95437,polishMiniLotto_3892,2.0,NORMAL,"4,9,11,19,33"
19182,5ef8d1bede17d9002c035335,polishMiniLotto_3892,3.0,NORMAL,"4,9,11,19,33"
2142,5ef0d4853c2560002c3cb84a,polishMiniLotto_3892,1.0,NORMAL,"6,7,11,19,42"
3527,5ef79e70b8b7d8002df26a97,polishMiniLotto_3892,7.0,NORMAL,"6,7,11,19,42"
9402,5ef83617b9cdfe002c4775bc,polishMiniLotto_3892,2.0,NORMAL,"5,8,11,21,33"
9893,5ef84365223ea4002c608907,polishMiniLotto_3892,4.0,NORMAL,"11,21,33,34,37"
18491,5ef8cab368f302002cde6dde,polishMiniLotto_3892,1.0,NORMAL,"11,21,33,37,39"
22232,5ef8f1a7b546c5002c36940a,polishMiniLotto_3892,2.0,NORMAL,"2,11,21,33,42"
484,5d66ecff668687002ccc5626,polishMiniLotto_3892,1.0,NORMAL,"3,8,11,21,42"
5950,5ef7a7bcbc5fd30028bfb113,polishMiniLotto_3892,10.0,NORMAL,"9,10,11,21,42"
