,matched_numbers,matched_numbers_count
0,[],0
1,['33'],1
2,[],0
3,['21'],1
4,['21'],1
5,[],0
6,['19'],1
7,['42'],1
8,[],0
9,[],0
10,['33'],1
11,[],0
12,['19'],1
13,"['11', '21']",2
14,['42'],1
15,['21'],1
16,['11'],1
17,['11'],1
18,[],0
19,['11'],1
20,[],0
21,[],0
22,['42'],1
23,[],0
24,['11'],1
25,['42'],1
26,[],0
27,"['21', '42']",2
28,[],0
29,[],0
30,[],0
31,[],0
32,['11'],1
33,"['11', '33']",2
34,[],0
35,"['19', '42']",2
36,[],0
37,['33'],1
38,[],0
39,[],0
40,[],0
41,['19'],1
42,['11'],1
43,[],0
44,[],0
45,"['33', '42']",2
46,['11'],1
47,['33'],1
48,[],0
49,['19'],1
50,[],0
51,['33'],1
52,['11'],1
53,['33'],1
54,[],0
55,[],0
56,[],0
57,[],0
58,['21'],1
59,[],0
60,[],0
61,[],0
62,[],0
63,"['19', '33']",2
64,[],0
65,['33'],1
66,"['21', '42']",2
67,[],0
68,[],0
69,[],0
70,"['11', '33']",2
71,"['11', '42']",2
72,['11'],1
73,[],0
74,['42'],1
75,['21'],1
76,[],0
77,"['21', '42']",2
78,[],0
79,['33'],1
80,[],0
81,['11'],1
82,['11'],1
83,[],0
84,[],0
85,[],0
86,[],0
87,[],0
88,[],0
89,['42'],1
90,"['33', '42']",2
91,['21'],1
92,[],0
93,[],0
94,[],0
95,[],0
96,[],0
97,[],0
98,['33'],1
99,[],0
100,['11'],1
101,[],0
102,['19'],1
103,['11'],1
104,[],0
105,['33'],1
106,['33'],1
107,['19'],1
108,"['21', '33']",2
109,['19'],1
110,['11'],1
111,['11'],1
112,['19'],1
113,[],0
114,[],0
115,['33'],1
116,[],0
117,[],0
118,[],0
119,['19'],1
120,['33'],1
121,"['21', '42']",2
122,[],0
123,['33'],1
124,[],0
125,[],0
126,[],0
127,[],0
128,[],0
129,"['19', '21', '33']",3
130,"['19', '21']",2
131,['11'],1
132,[],0
133,"['19', '42']",2
134,[],0
135,['33'],1
136,[],0
137,[],0
138,['19'],1
139,[],0
140,['33'],1
141,[],0
142,[],0
143,[],0
144,[],0
145,['19'],1
146,['42'],1
147,['42'],1
148,[],0
149,"['19', '33']",2
150,[],0
151,['19'],1
