,tickets_id,drawing_id,line_id,bet_type,numbers,numbers_list
0,550b11cee4b07489e9e03217,polishMiniLotto_3892,1.0,NORMAL,"3,4,6,7,36","['3', '4', '6', '7', '36']"
1,553a820ce4b0a8a498faab3a,polishMiniLotto_3892,1.0,NORMAL,"7,25,29,33,39","['7', '25', '29', '33', '39']"
2,553bcf70e4b0f1fa230477c8,polishMiniLotto_3892,1.0,NORMAL,"4,13,24,26,29","['4', '13', '24', '26', '29']"
3,55407a30e4b08fc8150fb94b,polishMiniLotto_3892,1.0,NORMAL,"6,21,27,31,37","['6', '21', '27', '31', '37']"
4,5545f560e4b0d4bda5336c8a,polishMiniLotto_3892,1.0,NORMAL,"8,13,21,25,30","['8', '13', '21', '25', '30']"
5,554fac60e4b05fa4fcb8ee03,polishMiniLotto_3892,1.0,NORMAL,"4,16,27,31,40","['4', '16', '27', '31', '40']"
6,5555f5f0e4b069896c0a0f19,polishMiniLotto_3892,1.0,NORMAL,"3,7,19,20,31","['3', '7', '19', '20', '31']"
7,5555f5f0e4b069896c0a0f19,polishMiniLotto_3892,2.0,NORMAL,"1,18,30,39,42","['1', '18', '30', '39', '42']"
8,555e2beee4b0046143a2e6dd,polishMiniLotto_3892,1.0,NORMAL,"3,13,24,28,30","['3', '13', '24', '28', '30']"
9,55680608e4b04a98de08dc1e,polishMiniLotto_3892,1.0,NORMAL,"1,24,28,36,38","['1', '24', '28', '36', '38']"
10,55680608e4b04a98de08dc1e,polishMiniLotto_3892,2.0,NORMAL,"2,3,9,33,40","['2', '3', '9', '33', '40']"
11,55680608e4b04a98de08dc1e,polishMiniLotto_3892,3.0,NORMAL,"3,9,13,18,28","['3', '9', '13', '18', '28']"
12,55680608e4b04a98de08dc1e,polishMiniLotto_3892,4.0,NORMAL,"3,16,18,19,41","['3', '16', '18', '19', '41']"
13,55680608e4b04a98de08dc1e,polishMiniLotto_3892,5.0,NORMAL,"1,5,11,21,40","['1', '5', '11', '21', '40']"
14,55680608e4b04a98de08dc1e,polishMiniLotto_3892,6.0,NORMAL,"13,25,36,38,42","['13', '25', '36', '38', '42']"
15,55bcc77ae4b0ee7bb99afbb1,polishMiniLotto_3892,1.0,S0600,"5,13,21,30,32,38","['5', '13', '21', '30', '32', '38']"
16,55c73907e4b0c83ae091bc91,polishMiniLotto_3892,1.0,NORMAL,"2,9,11,23,27","['2', '9', '11', '23', '27']"
17,55ca15fce4b0ead3f941f07c,polishMiniLotto_3892,1.0,NORMAL,"11,20,24,27,35","['11', '20', '24', '27', '35']"
18,55ca15fce4b0ead3f941f07c,polishMiniLotto_3892,2.0,NORMAL,"20,31,32,39,41","['20', '31', '32', '39', '41']"
19,55ca15fce4b0ead3f941f07c,polishMiniLotto_3892,3.0,NORMAL,"11,12,17,36,41","['11', '12', '17', '36', '41']"
20,55ca15fce4b0ead3f941f07c,polishMiniLotto_3892,4.0,NORMAL,"3,5,9,28,35","['3', '5', '9', '28', '35']"
21,55ca15fce4b0ead3f941f07c,polishMiniLotto_3892,5.0,NORMAL,"6,23,24,30,41","['6', '23', '24', '30', '41']"
22,55ca15fce4b0ead3f941f07c,polishMiniLotto_3892,6.0,NORMAL,"14,15,26,38,42","['14', '15', '26', '38', '42']"
23,55d3a074e4b018510b29ee06,polishMiniLotto_3892,1.0,NORMAL,"5,9,15,22,32","['5', '9', '15', '22', '32']"
24,55d986ede4b0187a61915751,polishMiniLotto_3892,1.0,NORMAL,"11,13,27,29,31","['11', '13', '27', '29', '31']"
25,55f697a5e4b0928b602a69fd,polishMiniLotto_3892,1.0,NORMAL,"1,7,24,26,42","['1', '7', '24', '26', '42']"
26,55f697a5e4b0928b602a69fd,polishMiniLotto_3892,2.0,NORMAL,"3,12,25,36,41","['3', '12', '25', '36', '41']"
27,55f697a5e4b0928b602a69fd,polishMiniLotto_3892,3.0,NORMAL,"2,12,21,30,42","['2', '12', '21', '30', '42']"
28,55f94e17e4b0a2d22f09bd9f,polishMiniLotto_3892,1.0,NORMAL,"3,4,7,9,20","['3', '4', '7', '9', '20']"
29,5601ca55e4b0b938d8e3d733,polishMiniLotto_3892,1.0,NORMAL,"5,7,14,15,26","['5', '7', '14', '15', '26']"
30,5603d677e4b0b938d8e5cd85,polishMiniLotto_3892,1.0,NORMAL,"15,17,31,36,41","['15', '17', '31', '36', '41']"
31,5605512ce4b0729a4a515353,polishMiniLotto_3892,1.0,NORMAL,"3,13,17,24,26","['3', '13', '17', '24', '26']"
32,5605512ce4b0729a4a515353,polishMiniLotto_3892,2.0,NORMAL,"5,11,13,20,23","['5', '11', '13', '20', '23']"
33,5613e127e4b016808f3f3e48,polishMiniLotto_3892,1.0,NORMAL,"3,11,12,24,33","['3', '11', '12', '24', '33']"
34,5613e127e4b016808f3f3e48,polishMiniLotto_3892,2.0,NORMAL,"1,3,4,18,38","['1', '3', '4', '18', '38']"
35,5613e127e4b016808f3f3e48,polishMiniLotto_3892,3.0,NORMAL,"7,19,24,38,42","['7', '19', '24', '38', '42']"
36,5613e127e4b016808f3f3e48,polishMiniLotto_3892,4.0,NORMAL,"5,8,22,35,40","['5', '8', '22', '35', '40']"
37,564b7a45e4b0762ad66302dc,polishMiniLotto_3892,1.0,NORMAL,"8,12,20,33,37","['8', '12', '20', '33', '37']"
